Rk,Player,BPM...3,MP▼,From,To,Age,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM...18,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
37,Gary Trent Jr.,-0.5,6368,2020-21,2022-23,22-24,194,151,11.8,113,115,6.6,5.2,0.089,-0.1,-0.4,-0.5,2.4,14,1.4,7.9,4.5,7.7,2.2,0.7,5.3,21.5,G,PORTOR,trentga02
38,Tyrese Haliburton,3.7,6324,2020-21,2022-23,20-22,191,153,18.2,122,117,14.4,3.7,0.138,3.8,-0.1,3.7,9,19.2,2.3,9.8,6,35.5,2.3,1.4,14.4,20.2,G,INDSAC,halibty01
39,Stephen Curry,7.3,6304,2020-21,2022-23,32-34,183,183,24.8,119,111,16.8,7.9,0.189,7,0.3,7.3,14.9,23.9,1.8,15.5,8.8,30.3,1.6,0.7,12.6,32.2,G,GSW,curryst01
40,Jrue Holiday,3.2,6297,2020-21,2022-23,30-32,193,185,20.2,118,112,12.7,7.5,0.154,2.9,0.3,3.2,8.3,19.7,3.8,11.1,7.6,31,2.1,1.3,14.4,23.6,G,MIL,holidjr01
41,Giannis Antetokounmpo,9.6,6241,2020-21,2022-23,26-28,191,191,31.7,121,107,21,10.7,0.244,6.6,3,9.6,18.4,30.1,6.4,29.8,18.5,31.2,1.5,3.1,12.9,35.4,F-G,MIL,antetgi01
42,Bojan Bogdanovic,0.1,6240,2020-21,2022-23,31-33,200,200,14,116,116,9.5,4.5,0.108,1.4,-1.3,0.1,3.3,15.6,2.4,11.4,7,10.3,0.9,0.2,10.9,24,G-F,DETUTA,bogdabo02
43,Chris Paul,4.5,6227,2020-21,2022-23,35-37,194,194,24.7,123,110,15.9,8.8,0.19,2.9,1.5,4.5,10.1,20.1,1.3,13.6,7.5,41.4,2.4,0.9,14.4,20.6,G,PHO,paulch01
44,Reggie Bullock,-1.5,6215,2020-21,2022-23,29-31,211,156,10.6,115,114,4.8,5.8,0.082,-1.6,0.1,-1.5,0.8,9.2,1.5,12.1,6.8,6.5,1.2,0.6,7.1,12.4,G-F,DALNYK,bullore01
45,Joel Embiid,8.8,6166,2020-21,2022-23,26-28,185,185,33.1,122,106,21.9,11.2,0.258,6.9,1.9,8.8,16.7,31,6.9,29.5,18.4,21.4,1.5,4.1,11.8,36.6,C,PHI,embiijo01
46,James Harden,5.3,6163,2020-21,2022-23,31-33,167,166,23,120,112,16,7,0.179,4.9,0.5,5.3,11.4,22.1,2.4,19,11,42.4,1.6,1.5,17.4,26.8,G,BRKHOUPHI,hardeja01
