playerId,playerName,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,season,teamId,teamName,primaryKey,playerRole
1626145,"Tyus Jones",0.5,134,0.48,93,0.02,251,0.39,125,0.49,55,-0.1,380,-0.45,511,0.03,257,-0.48,541,-0.72,496,-0.43,503,-0.29,429,0.94,9,0.42,57,0.52,28,1.13,88,0.91,63,0.22,188,"2021-22",1610612763,"MEM","1626145_2021-22","No Role Available"
1626147,"Justin Anderson",-0.38,444,-0.42,500,0.04,236,-0.28,447,-0.58,571,0.3,109,-0.19,429,0.05,236,-0.25,461,-0.4,433,-0.07,352,-0.33,438,0.36,92,0.21,124,0.15,142,-0.22,363,-0.67,520,0.45,139,"2021-22",1610612739,"CLE","1626147_2021-22","No Role Available"
1626149,"Montrezl Harrell",0.67,113,-0.23,441,0.9,54,0.64,66,0.41,72,0.24,127,1.19,10,0.4,79,0.79,19,1.6,28,0.87,30,0.72,74,-0.19,438,-0.37,544,0.19,120,1.72,39,0.86,66,0.86,80,"2021-22",1610612764,"WAS","1626149_2021-22","No Role Available"
1626153,"Delon Wright",0.35,158,0.41,109,-0.06,329,0.08,219,0.03,246,0.04,228,0.44,97,0.21,153,0.23,140,0.21,203,0.28,141,-0.07,344,0.49,63,0.3,92,0.19,121,0.81,115,0.39,133,0.43,147,"2021-22",1610612737,"ATL","1626153_2021-22","No Role Available"
1626155,"Sam Dekker",-0.03,308,0.01,317,-0.02,293,-0.03,303,-0.02,315,0.01,288,0.01,297,0.01,274,0.01,304,-0.08,323,-0.06,347,-0.02,309,0.01,294,0.01,301,0.01,285,-0.07,309,-0.05,314,-0.02,282,"2021-22",1610612761,"TOR","1626155_2021-22","No Role Available"
1630278,"Ade Murkey",0.01,285,0.02,283,-0.02,290,0.01,278,0.01,274,0.01,287,0.03,276,0.01,283,0.02,276,0.01,283,0.01,294,-0.02,306,0.01,278,0.01,291,0.01,282,0.01,270,0.02,267,-0.02,284,"2021-22",1610612758,"SAC","1630278_2021-22","No Role Available"
202334,"Ed Davis",-0.13,365,0.1,230,-0.23,428,0.24,160,0.41,71,-0.17,439,-0.57,536,-0.62,570,0.05,245,0.26,189,0.42,102,-0.17,392,-0.74,587,-0.42,559,-0.32,545,-0.18,353,0.41,129,-0.58,496,"2021-22",1610612739,"CLE","202334_2021-22","No Role Available"
1628380,"Zach Collins",0.34,163,0.12,225,0.22,153,0.18,182,0.07,224,0.11,182,0.5,79,0.06,234,0.44,77,-0.42,438,0.07,237,-0.5,492,-0.02,313,-0.1,396,0.08,191,0.54,143,0.09,220,0.45,140,"2021-22",1610612759,"SAS","1628380_2021-22","No Role Available"
1628391,"D.J. Wilson",-0.18,382,-0.07,364,-0.1,367,-0.02,293,0.02,264,-0.04,319,0.13,201,0.08,220,0.05,244,-0.12,352,-0.09,364,-0.04,323,-0.19,441,-0.1,399,-0.09,394,-0.25,373,-0.15,385,-0.1,330,"2021-22",1610612761,"TOR","1628391_2021-22","No Role Available"
1628988,"Aaron Holiday",0.03,258,0.37,121,-0.33,464,-0.13,371,0.23,130,-0.36,525,-0.26,454,0.01,290,-0.25,464,-0.08,321,0.24,154,-0.32,433,-0.06,354,-0.14,442,0.08,193,-0.51,449,0.02,268,-0.53,477,"2021-22",1610612764,"WAS","1628988_2021-22","No Role Available"
1628998,"Cody Martin",0.71,101,-0.14,405,0.85,61,0.01,289,-0.65,578,0.64,37,0.12,207,0.18,171,-0.06,346,0.18,213,-0.3,464,0.48,106,0.42,77,0.48,43,-0.06,369,0.01,262,-0.86,554,0.87,79,"2021-22",1610612766,"CHA","1628998_2021-22","No Role Available"
1629001,"DeAnthony Melton",0.7,105,0.62,65,0.08,210,0.6,72,0.25,123,0.35,94,-0.55,534,-0.37,520,-0.18,428,0.78,95,-0.36,489,1.15,28,0.51,57,0.69,16,-0.18,469,1.17,86,0.78,78,0.38,154,"2021-22",1610612763,"MEM","1629001_2021-22","No Role Available"
202339,"Eric Bledsoe",-0.79,534,0.09,234,-0.89,563,0.13,198,0.46,61,-0.33,508,0.41,109,0.49,62,-0.08,366,-1.12,550,-0.69,565,-0.43,463,0.16,183,0.45,49,-0.29,534,-0.06,307,0.86,68,-0.92,547,"2021-22",1610612746,"LAC","202339_2021-22","No Role Available"
202340,"Avery Bradley",-1.95,593,-0.22,434,-1.74,602,-0.58,534,-0.19,457,-0.39,537,-0.92,578,-0.05,340,-0.87,600,-0.76,504,0.21,172,-0.97,570,0.08,220,0.36,70,-0.28,530,-1.19,536,0.28,161,-1.47,587,"2021-22",1610612747,"LAL","202340_2021-22","No Role Available"
